State,Year,Crop Name,Temperature Range,Yield (MT),Area (Ha)
Andhra Pradesh,2024,Chilli,20-37,3660425,2367456
Andhra Pradesh,2024,Cotton,20-37,2975795,1712940
Andhra Pradesh,2024,Groundnut,20-37,1949453,537502
Andhra Pradesh,2024,Maize,20-37,1657277,1239426
Andhra Pradesh,2024,Rice,20-37,16136815,6005027
Andhra Pradesh,2024,Sugarcane,20-37,3831475,1048823
Andhra Pradesh,2023,Chilli,20-37,2491826,1026142
Andhra Pradesh,2023,Cotton,20-37,3338383,1924038
Andhra Pradesh,2023,Groundnut,20-37,8076240,2149274
Andhra Pradesh,2023,Maize,20-37,5137100,2074101
Andhra Pradesh,2023,Rice,20-37,21207495,7849695
Andhra Pradesh,2023,Sugarcane,20-37,2381386,697180
Andhra Pradesh,2022,Chilli,20-37,2377045,529194
Andhra Pradesh,2022,Cotton,20-37,2216677,1275261
Andhra Pradesh,2022,Groundnut,20-37,2686480,397723
Andhra Pradesh,2022,Maize,20-37,2809365,1095484
Andhra Pradesh,2022,Rice,20-37,14299800,5302649
Andhra Pradesh,2022,Sugarcane,20-37,1176004,683172
Andhra Pradesh,2021,Chilli,20-37,1372873,807214
Andhra Pradesh,2021,Cotton,20-37,3393719,1952616
Andhra Pradesh,2021,Groundnut,20-37,1697996,1263144
Andhra Pradesh,2021,Maize,20-37,2996444,2476807
Andhra Pradesh,2021,Rice,20-37,14069114,5229706
Andhra Pradesh,2021,Sugarcane,20-37,4473906,736002
Andhra Pradesh,2020,Chilli,20-37,3370477,1095058
Andhra Pradesh,2020,Cotton,20-37,3158904,1818700
Andhra Pradesh,2020,Groundnut,20-37,2908808,1721680
Andhra Pradesh,2020,Maize,20-37,2850572,1806923
Andhra Pradesh,2020,Rice,20-37,14650307,5425944
Andhra Pradesh,2020,Sugarcane,20-37,2899140,1102652
Andhra Pradesh,2019,Chilli,20-37,2290017,1491681
Andhra Pradesh,2019,Cotton,20-37,2039666,1176227
Andhra Pradesh,2019,Groundnut,20-37,2013010,1446062
Andhra Pradesh,2019,Maize,20-37,1294976,1610417
Andhra Pradesh,2019,Rice,20-37,16490091,6082582
Andhra Pradesh,2019,Sugarcane,20-37,1850992,1511188
Andhra Pradesh,2018,Chilli,20-37,1920584,1550477
Andhra Pradesh,2018,Cotton,20-37,2172230,1250461
Andhra Pradesh,2018,Groundnut,20-37,2033389,1254599
Andhra Pradesh,2018,Maize,20-37,4452631,2129414
Andhra Pradesh,2018,Rice,20-37,13546226,5042490
Andhra Pradesh,2018,Sugarcane,20-37,4118838,738607
Andhra Pradesh,2017,Chilli,20-37,4303648,1229754
Andhra Pradesh,2017,Cotton,20-37,2550151,1471511
Andhra Pradesh,2017,Groundnut,20-37,2088398,937808
Andhra Pradesh,2017,Maize,20-37,4316925,1886577
Andhra Pradesh,2017,Rice,20-37,19405970,7188082
Andhra Pradesh,2017,Sugarcane,20-37,4877167,375392
Andhra Pradesh,2016,Chilli,20-37,1196668,1130205
Andhra Pradesh,2016,Cotton,20-37,2010741,1157927
Andhra Pradesh,2016,Groundnut,20-37,830271,971490
Andhra Pradesh,2016,Maize,20-37,4275120,740212
Andhra Pradesh,2016,Rice,20-37,16371176,6065123
Andhra Pradesh,2016,Sugarcane,20-37,3678366,1197431
Andhra Pradesh,2015,Chilli,20-37,4299017,1051530
Andhra Pradesh,2015,Cotton,20-37,2415762,1389999
Andhra Pradesh,2015,Groundnut,20-37,3303339,810163
Andhra Pradesh,2015,Maize,20-37,2627330,929925
Andhra Pradesh,2015,Rice,20-37,19377400,7163594
Andhra Pradesh,2015,Sugarcane,20-37,3543530,1117842
Andhra Pradesh,2014,Chilli,20-37,1987748,1212000
Andhra Pradesh,2014,Cotton,20-37,2040718,1173240
Andhra Pradesh,2014,Groundnut,20-37,1913102,1340283
Andhra Pradesh,2014,Maize,20-37,3930527,1290495
Andhra Pradesh,2014,Rice,20-37,18947379,7016595
Andhra Pradesh,2014,Sugarcane,20-37,4390906,907536
Andhra Pradesh,2013,Chilli,20-37,2856659,872323
Andhra Pradesh,2013,Cotton,20-37,1929705,1111928
Andhra Pradesh,2013,Groundnut,20-37,3656209,466881
Andhra Pradesh,2013,Maize,20-37,1386059,452813
Andhra Pradesh,2013,Rice,20-37,18879417,6971841
Andhra Pradesh,2013,Sugarcane,20-37,1095899,1220854
Andhra Pradesh,2012,Chilli,20-37,4494642,1590831
Andhra Pradesh,2012,Cotton,20-37,2199978,1264018
Andhra Pradesh,2012,Groundnut,20-37,994987,385697
Andhra Pradesh,2012,Maize,20-37,4558577,804553
Andhra Pradesh,2012,Rice,20-37,17774175,6566735
Andhra Pradesh,2012,Sugarcane,20-37,2332737,763597
Andhra Pradesh,2011,Chilli,20-37,3656502,673749
Andhra Pradesh,2011,Cotton,20-37,2404010,1380112
Andhra Pradesh,2011,Groundnut,20-37,1919192,1205404
Andhra Pradesh,2011,Maize,20-37,1004500,732342
Andhra Pradesh,2011,Rice,20-37,14991635,5533027
Andhra Pradesh,2011,Sugarcane,20-37,4515304,1133735
Andhra Pradesh,2010,Chilli,20-37,832290,1126847
Andhra Pradesh,2010,Cotton,20-37,2514635,1445487
Andhra Pradesh,2010,Groundnut,20-37,2004597,1610876
Andhra Pradesh,2010,Maize,20-37,3018924,387273
Andhra Pradesh,2010,Rice,20-37,13967942,5160301
Andhra Pradesh,2010,Sugarcane,20-37,3559840,555396
Andhra Pradesh,2009,Chilli,20-37,1475873,1254405
Andhra Pradesh,2009,Cotton,20-37,1957325,1122924
Andhra Pradesh,2009,Groundnut,20-37,1137877,967946
Andhra Pradesh,2009,Maize,20-37,1002527,574310
Andhra Pradesh,2009,Rice,20-37,12870312,4779228
Andhra Pradesh,2009,Sugarcane,20-37,884701,1033488
Andhra Pradesh,2008,Chilli,20-37,1496821,508149
Andhra Pradesh,2008,Cotton,20-37,1866005,1077322
Andhra Pradesh,2008,Groundnut,20-37,3126401,859758
Andhra Pradesh,2008,Maize,20-37,3619238,467286
Andhra Pradesh,2008,Rice,20-37,13357091,4951830
Andhra Pradesh,2008,Sugarcane,20-37,938528,594894
Andhra Pradesh,2007,Chilli,20-37,1892808,554633
Andhra Pradesh,2007,Cotton,20-37,2306932,1324136
Andhra Pradesh,2007,Groundnut,20-37,2203816,792336
Andhra Pradesh,2007,Maize,20-37,1527469,1493412
Andhra Pradesh,2007,Rice,20-37,13807402,5101486
Andhra Pradesh,2007,Sugarcane,20-37,2233958,1247327
Andhra Pradesh,2006,Chilli,20-37,2414396,363504
Andhra Pradesh,2006,Cotton,20-37,2032099,1166389
Andhra Pradesh,2006,Groundnut,20-37,2872896,1024146
Andhra Pradesh,2006,Maize,20-37,2783677,1224426
Andhra Pradesh,2006,Rice,20-37,12470483,4624034
Andhra Pradesh,2006,Sugarcane,20-37,2043485,1174947
Andhra Pradesh,2005,Chilli,20-37,2354352,1296705
Andhra Pradesh,2005,Cotton,20-37,1687110,973248
Andhra Pradesh,2005,Groundnut,20-37,1373462,962078
Andhra Pradesh,2005,Maize,20-37,3926902,656332
Andhra Pradesh,2005,Rice,20-37,12148129,4501929
Andhra Pradesh,2005,Sugarcane,20-37,1068499,915353
Andhra Pradesh,2004,Chilli,20-37,751565,953303
Andhra Pradesh,2004,Cotton,20-37,1690532,976732
Andhra Pradesh,2004,Groundnut,20-37,1534459,799133
Andhra Pradesh,2004,Maize,20-37,2119780,805982
Andhra Pradesh,2004,Rice,20-37,11872850,4413375
Andhra Pradesh,2004,Sugarcane,20-37,2277464,607077
Andhra Pradesh,2003,Chilli,20-37,1151681,380179
Andhra Pradesh,2003,Cotton,20-37,1700703,980311
Andhra Pradesh,2003,Groundnut,20-37,3522714,334341
Andhra Pradesh,2003,Maize,20-37,2397919,1204178
Andhra Pradesh,2003,Rice,20-37,11278376,4184313
Andhra Pradesh,2003,Sugarcane,20-37,2275232,447568
Andhra Pradesh,2002,Chilli,20-37,1367894,569467
Andhra Pradesh,2002,Cotton,20-37,1677602,966822
Andhra Pradesh,2002,Groundnut,20-37,2474096,394081
Andhra Pradesh,2002,Maize,20-37,841106,392354
Andhra Pradesh,2002,Rice,20-37,12848485,4742485
Andhra Pradesh,2002,Sugarcane,20-37,3393988,1118478
Andhra Pradesh,2001,Chilli,20-37,1615609,831248
Andhra Pradesh,2001,Cotton,20-37,1818459,1043596
Andhra Pradesh,2001,Groundnut,20-37,1863930,445981
Andhra Pradesh,2001,Maize,20-37,984152,569405
Andhra Pradesh,2001,Rice,20-37,10779829,4008430
Andhra Pradesh,2001,Sugarcane,20-37,2877791,351118
Andhra Pradesh,2000,Chilli,20-37,3528631,535838
Andhra Pradesh,2000,Cotton,20-37,1517557,877558
Andhra Pradesh,2000,Groundnut,20-37,2874721,452623
Andhra Pradesh,2000,Maize,20-37,2594889,802620
Andhra Pradesh,2000,Rice,20-37,11733498,4337796
